title,가고싶다,평점,감성점수,맛있다,가격,웨이팅,서비스,분위기,표준화_감성점수,맛있다,가격,웨이팅,서비스,분위기,가고싶다,평점,감성*맛+0.5*평점+0.5*가고싶다수,가격,웨이팅,서비스,분위기
상춘재,6507,4.6,2,0.8081,0,0,0.8532,0.8895,1.48,-0.78,-0.58,-0.6,-0.29,-0.09,1.6,1.48,0.3856,0.6816,0.652,1.1108,1.4068
상춘재,6507,4.6,2,2.8081,0,1.8526,1.703,0.8895,1.48,-0.15,-0.58,0.32,0.14,-0.09,1.6,1.48,1.318,0.6816,2.0136,1.7472,1.4068
상춘재,6507,4.6,0.94,7.9712,3.6721,0.8353,5.9697,2.7701,0.16,1.47,3.04,-0.18,2.3,1.14,1.6,0.16,1.1152,1.3664,0.8512,1.248,1.0624
상춘재,6507,4.6,2,0,0,0,0,0,1.48,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,1.48,0.0156,0.6816,0.652,0.4744,0.5484
상춘재,6507,4.6,0.17,1.7757,0,0,2.4695,0.8696,-0.8,-0.47,-0.58,-0.6,0.53,-0.11,1.6,-0.8,0.776,0.864,0.88,-0.024,0.488
상춘재,6507,4.6,0,1.6726,0,0.9307,0,0,-1.01,-0.51,-0.58,-0.14,-0.72,-0.67,1.6,-1.01,0.8101,0.8808,0.4364,1.0222,0.9717
상춘재,6507,4.6,1.2,4.7251,0,0,0,0,0.48,0.45,-0.58,-0.6,-0.72,-0.67,1.6,0.48,1.256,0.7616,0.752,0.6944,0.7184
상춘재,6507,4.6,1.36,6.4129,0,0.8193,1.6549,0.8892,0.68,0.98,-0.58,-0.19,0.12,-0.09,1.6,0.68,1.8064,0.7456,1.0108,1.2216,1.0788
상춘재,6507,4.6,1.75,1.9231,0,0,0,0,1.16,-0.43,-0.58,-0.6,-0.72,-0.67,1.6,1.16,0.8812,0.7072,0.684,0.5448,0.6028
상춘재,6507,4.6,0.83,1.6672,1.8769,0,2.605,1.918,0.02,-0.51,1.27,-0.6,0.6,0.58,1.6,0.02,0.7998,0.8354,0.798,0.822,0.8216
상춘재,6507,4.6,0.8,3.3209,0,0,2.5562,1.7789,-0.01,0.01,-0.58,-0.6,0.58,0.49,1.6,-0.01,0.7949,0.8008,0.801,0.7892,0.7901
상춘재,6507,4.6,0.23,8.8972,2.8015,5.6091,4.2067,0.8895,-0.72,1.76,2.18,2.2,1.41,-0.09,1.6,-0.72,-0.8272,-1.1296,-1.144,-0.5752,0.5048
상춘재,6507,4.6,0.39,7.9506,0,0.9094,3.4245,1.7789,-0.52,1.46,-0.58,-0.15,1.01,0.49,1.6,-0.52,-0.2192,0.8416,0.618,0.0148,0.2852
상춘재,6507,4.6,1.71,2.5632,0,0,2.5317,1.7427,1.12,-0.23,-0.58,-0.6,0.56,0.47,1.6,1.12,1.1024,0.7104,0.688,1.9872,1.8864
상춘재,6507,4.6,1.35,7.1911,0.8769,0.932,7.652,5.0637,0.67,1.23,0.29,-0.14,3.15,2.64,1.6,0.67,1.9591,1.3293,1.0412,3.2455,2.9038
상춘재,6507,4.6,1.5,7.9559,0,0,4.1997,1.7446,0.85,1.47,-0.58,-0.6,1.41,0.47,1.6,0.85,2.4745,0.732,0.715,2.4235,1.6245
상춘재,6507,4.6,0,0.8479,0,0.9286,0.8683,0,-1.01,-0.76,-0.58,-0.14,-0.28,-0.67,1.6,-1.01,1.0626,0.8808,0.4364,0.5778,0.9717
상춘재,6507,4.6,0.75,1.7942,0,2.8067,1,0.8229,-0.08,-0.47,-0.58,0.8,-0.21,-0.14,1.6,-0.08,0.7976,0.8064,0.696,0.7768,0.7712
상춘재,6507,4.6,0,0.8533,0,0,0.8498,0,-1.01,-0.76,-0.58,-0.6,-0.29,-0.67,1.6,-1.01,1.0626,0.8808,0.901,0.5879,0.9717
상춘재,6507,4.6,1.8,2.5662,0.919,0,0,0,1.23,-0.23,0.33,-0.6,-0.72,-0.67,1.6,1.23,1.1321,1.8209,0.677,0.5294,0.5909
상춘재,6507,4.6,0.67,4.4039,0,0,1.7483,0.8618,-0.18,0.35,-0.58,-0.6,0.17,-0.11,1.6,-0.18,0.647,0.8144,0.818,0.6794,0.7298
상춘재,6507,4.6,1,0,0,0,0,0,0.23,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,0.23,0.6781,0.7816,0.777,0.7494,0.7609
상춘재,6507,4.6,1.75,1.6742,0,0,1.6954,0.8895,1.16,-0.51,-0.58,-0.6,0.14,-0.09,1.6,1.16,0.7884,0.7072,0.684,1.5424,1.2756
상춘재,6507,4.6,0,1.83,0,0,0,0,-1.01,-0.46,-0.58,-0.6,-0.72,-0.67,1.6,-1.01,0.7596,0.8808,0.901,1.0222,0.9717
상춘재,6507,4.6,1.5,0,1,0.8353,0,0,0.85,-1.03,0.41,-0.18,-0.72,-0.67,1.6,0.85,0.3495,1.5735,1.072,0.613,0.6555
상춘재,6507,4.6,2,0,0,0,0,0,1.48,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,1.48,0.0156,0.6816,0.652,0.4744,0.5484
상춘재,6507,4.6,2,1,0,0,0,0,1.48,-0.72,-0.58,-0.6,-0.72,-0.67,1.6,1.48,0.4744,0.6816,0.652,0.4744,0.5484
상춘재,6507,4.6,1.44,2.8661,0,0,1.6651,1,0.78,-0.13,-0.58,-0.6,0.12,-0.02,1.6,0.78,1.0886,0.7376,0.722,1.2836,1.1744
상춘재,6507,4.6,0,0,0,0,0,0,-1.01,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,-1.01,1.3353,0.8808,0.901,1.0222,0.9717
남양수산,5916,4.6,0.47,4.5539,0,5.5235,0,0,-0.42,0.4,-0.58,2.16,-0.72,-0.67,1.6,-0.42,0.422,0.8336,-0.3172,0.8924,0.8714
남양수산,5916,4.6,0.5,3.5651,0,0.9307,1.6833,0.8895,-0.39,0.09,-0.58,-0.14,0.13,-0.09,1.6,-0.39,0.5699,0.8312,0.6596,0.5543,0.6401
남양수산,5916,4.6,0.62,1.8081,0,2.6949,0.8532,0.8895,-0.24,-0.46,-0.58,0.74,-0.29,-0.09,1.6,-0.24,0.7904,0.8192,0.5024,0.7496,0.7016
남양수산,5916,4.6,0.5,1.8225,0.8359,0,0,0,-0.39,-0.46,0.25,-0.6,-0.72,-0.67,1.6,-0.39,0.7844,0.5075,0.839,0.8858,0.8663
남양수산,5916,4.6,2,3.5689,1.9195,0,0,0,1.48,0.09,1.31,-0.6,-0.72,-0.67,1.6,1.48,1.6732,3.4788,0.652,0.4744,0.5484
남양수산,5916,4.6,2,9.2176,0,0.9644,4.178,1.7446,1.48,1.86,-0.58,-0.12,1.4,0.47,1.6,1.48,4.2928,0.6816,1.3624,3.612,2.2356
남양수산,5916,4.6,0,0.9208,0,0.9307,0.859,0,-1.01,-0.74,-0.58,-0.14,-0.28,-0.67,1.6,-1.01,1.0424,0.8808,0.4364,0.5778,0.9717
남양수산,5916,4.6,0,0.9208,0,0.9266,0,0,-1.01,-0.74,-0.58,-0.14,-0.72,-0.67,1.6,-1.01,1.0424,0.8808,0.4364,1.0222,0.9717
남양수산,5916,4.6,1.36,14.0054,0,0.9045,0.8532,0.8895,0.68,3.37,-0.58,-0.15,-0.29,-0.09,1.6,0.68,3.4316,0.7456,1.038,0.9428,1.0788
남양수산,5916,4.6,1.2,6.582,0,0.9307,0,0,0.48,1.04,-0.58,-0.14,-0.72,-0.67,1.6,0.48,1.5392,0.7616,0.9728,0.6944,0.7184
남양수산,5916,4.6,1,6.524,0,5.75,0,2.5336,0.23,1.02,-0.58,2.27,-0.72,0.98,1.6,0.23,1.1496,0.7816,1.4371,0.7494,1.1404
남양수산,5916,4.6,0,0,0,0,0,0,-1.01,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,-1.01,1.3353,0.8808,0.901,1.0222,0.9717
남양수산,5916,4.6,1.57,4.3472,0,0,2.5596,2.6684,0.94,0.33,-0.58,-0.6,0.58,1.07,1.6,0.94,1.5802,0.7248,0.706,1.8152,2.2758
남양수산,5916,4.6,2,1.8081,0,0,0.8532,2.6292,1.48,-0.46,-0.58,-0.6,-0.29,1.05,1.6,1.48,0.8592,0.6816,0.652,1.1108,3.094
